Sequence 1,Sequence 2,Player 1 Wins,Player 2 Wins,Draws,Player 1 Win %,Tie %
000,001,239636,258224,10140,47.17,2.0
000,010,140355,359216,8429,27.63,1.66
000,011,89525,408182,10293,17.62,2.03
000,100,5,507989,6,0.0,0.0
000,101,128627,368476,10897,25.32,2.15
000,110,4745,501892,1363,0.93,0.27
000,111,246783,246634,14583,48.58,2.87
001,000,258224,239636,10140,50.83,2.0
001,010,438648,62654,6698,86.35,1.32
001,011,485526,18234,4240,95.58,0.83
001,100,969,506789,242,0.19,0.05
001,101,466257,34658,7085,91.78,1.39
001,110,242917,242724,22359,47.82,4.4
001,111,501862,4817,1321,98.79,0.26
010,000,359216,140355,8429,70.71,1.66
010,001,62654,438648,6698,12.33,1.32
010,011,246845,246493,14662,48.59,2.89
010,100,213871,283123,11006,42.1,2.17
010,101,248088,247652,12260,48.84,2.41
010,110,34803,466261,6936,6.85,1.37
010,111,369382,127822,10796,72.71,2.13
011,000,408182,89525,10293,80.35,2.03
011,001,18234,485526,4240,3.59,0.83
011,010,246493,246845,14662,48.52,2.89
011,100,246473,247015,14512,48.52,2.86
011,101,283367,213604,11029,55.78,2.17
011,110,506789,963,248,99.76,0.05
011,111,507986,12,2,100.0,0.0
100,000,507989,5,6,100.0,0.0
100,001,506789,969,242,99.76,0.05
100,010,283123,213871,11006,55.73,2.17
100,011,247015,246473,14512,48.62,2.86
100,101,247041,246339,14620,48.63,2.88
100,110,18419,485388,4193,3.63,0.83
100,111,408304,89521,10175,80.37,2.0
101,000,368476,128627,10897,72.53,2.15
101,001,34658,466257,7085,6.82,1.39
101,010,247652,248088,12260,48.75,2.41
101,011,213604,283367,11029,42.05,2.17
101,100,246339,247041,14620,48.49,2.88
101,110,63080,438250,6670,12.42,1.31
101,111,359227,140500,8273,70.71,1.63
110,000,501892,4745,1363,98.8,0.27
110,001,242724,242917,22359,47.78,4.4
110,010,466261,34803,6936,91.78,1.37
110,011,963,506789,248,0.19,0.05
110,100,485388,18419,4193,95.55,0.83
110,101,438250,63080,6670,86.27,1.31
110,111,258528,239213,10259,50.89,2.02
111,000,246634,246783,14583,48.55,2.87
111,001,4817,501862,1321,0.95,0.26
111,010,127822,369382,10796,25.16,2.13
111,011,12,507986,2,0.0,0.0
111,100,89521,408304,10175,17.62,2.0
111,101,140500,359227,8273,27.66,1.63
111,110,239213,258528,10259,47.09,2.02
