Sequence 1,Sequence 2,Player 1 Wins,Player 2 Wins,Draws,Player 1 Win %,Tie %
000,001,403843,441209,154948,40.38,15.49
000,010,211206,665109,123685,21.12,12.37
000,011,112641,769078,118281,11.26,11.83
000,100,1131,994841,4028,0.11,0.4
000,101,168425,693933,137642,16.84,13.76
000,110,8454,967087,24459,0.85,2.45
000,111,325133,325271,349596,32.51,34.96
001,000,441209,403843,154948,44.12,15.49
001,010,800841,116078,83081,80.08,8.31
001,011,883090,51786,65124,88.31,6.51
001,100,26019,935476,38505,2.6,3.85
001,101,793005,112971,94024,79.3,9.4
001,110,410705,408762,180533,41.07,18.05
001,111,967338,8373,24289,96.73,2.43
010,000,665109,211206,123685,66.51,12.37
010,001,116078,800841,83081,11.61,8.31
010,011,432291,431016,136693,43.23,13.67
010,100,423950,441882,134168,42.4,13.42
010,101,406926,405575,187499,40.69,18.75
010,110,113810,791507,94683,11.38,9.47
010,111,694401,167935,137664,69.44,13.77
011,000,769078,112641,118281,76.91,11.83
011,001,51786,883090,65124,5.18,6.51
011,010,431016,432291,136693,43.1,13.67
011,100,431112,432469,136419,43.11,13.64
011,101,442316,423398,134286,44.23,13.43
011,110,935322,26182,38496,93.53,3.85
011,111,994930,1059,4011,99.49,0.4
100,000,994841,1131,4028,99.48,0.4
100,001,935476,26019,38505,93.55,3.85
100,010,441882,423950,134168,44.19,13.42
100,011,432469,431112,136419,43.25,13.64
100,101,431753,431679,136568,43.18,13.66
100,110,52428,882106,65466,5.24,6.55
100,111,769723,112500,117777,76.97,11.78
101,000,693933,168425,137642,69.39,13.76
101,001,112971,793005,94024,11.3,9.4
101,010,405575,406926,187499,40.56,18.75
101,011,423398,442316,134286,42.34,13.43
101,100,431679,431753,136568,43.17,13.66
101,110,116483,800884,82633,11.65,8.26
101,111,665079,211939,122982,66.51,12.3
110,000,967087,8454,24459,96.71,2.45
110,001,408762,410705,180533,40.88,18.05
110,010,791507,113810,94683,79.15,9.47
110,011,26182,935322,38496,2.62,3.85
110,100,882106,52428,65466,88.21,6.55
110,101,800884,116483,82633,80.09,8.26
110,111,440456,404899,154645,44.05,15.46
111,000,325271,325133,349596,32.53,34.96
111,001,8373,967338,24289,0.84,2.43
111,010,167935,694401,137664,16.79,13.77
111,011,1059,994930,4011,0.11,0.4
111,100,112500,769723,117777,11.25,11.78
111,101,211939,665079,122982,21.19,12.3
111,110,404899,440456,154645,40.49,15.46
